id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,OVD_t1,OVD_t2,OVD_t3,OVD_sum,pay_normal,prod_code,prod_limit,new_balance,highest_balance
58995950,7,1218.0,1,101000.0,2,11,3,101,3,350100,273.86127880000004,0,0,0,0,9,6,85789.7012195122,0.0,11300.0
54990614,4,1390.0,1,186000.0,2,8,9,110,3,60014,1.0,0,0,0,0,29,10,5500.0,0.0,219202.72592781534
58998866,4,1288.0,3,126000.0,1,8,5,99,5,151000,173.20508080000002,0,0,0,0,15,1,85789.7012195122,369513.6,488500.0
58988697,7,1286.1657435613404,2,50000.0,2,11,5,112,5,72000,181.5543996,0,0,0,0,25,10,85789.7012195122,36858.0,31215.0
58989594,7,1318.0,3,127000.0,2,11,9,88,5,71000,200.0,0,0,0,0,20,3,85789.7012195122,1137924.0,1000500.0
59001184,4,1304.0,3,35000.0,2,8,9,90,5,60047,1.0,0,0,0,0,9,10,85789.7012195122,8248.8,22747.0
58985900,5,1286.1657435613404,2,43000.0,2,15,9,111,5,361027,167.7885574,0,3,0,230,7,5,85789.7012195122,0.0,41800.0
59001882,7,1355.0,3,94000.0,2,11,5,114,4,510044,216.3816074,0,0,0,0,8,10,85789.7012195122,36861.6,31361.0
54987545,7,1212.0,3,61000.0,2,11,5,112,4,450031,187.08286930000003,3,0,0,29,8,10,28600.0,435.6,30195.0
59004540,4,1286.1657435613404,2,34000.0,2,8,5,100,5,72049,163.29421299999998,0,0,0,0,0,10,85789.7012195122,0.0,219202.72592781534
58991618,7,1258.0,1,98000.0,2,11,-1,101,3,60075,1.0,0,0,0,0,2,6,85789.7012195122,0.0,33860.0
58993847,7,1262.0,3,172000.0,2,11,9,112,4,72000,262.11066370000003,1,2,0,103,5,10,85789.7012195122,0.0,4719.0
58993131,7,1286.1657435613404,2,120000.0,2,11,5,101,5,72000,265.3394053,0,0,0,0,7,5,85789.7012195122,0.0,50500.0
58995303,7,1304.0,1,113000.0,2,11,9,112,4,350078,264.5751311,0,0,0,0,5,3,85789.7012195122,1544614.8,1300500.0
58999328,4,1286.1657435613404,2,94000.0,2,8,-1,109,5,340006,200.0,0,0,0,0,9,10,70400.0,25964.4,72471.0
54989257,4,1242.0,3,56000.0,2,8,-1,85,5,330007,1.0,0,0,0,0,33,13,85789.7012195122,0.0,30500.0
58994767,7,1378.0,1,55000.0,2,11,5,114,3,151009,212.1320344,0,0,0,0,8,13,85789.7012195122,0.0,42500.0
58995407,7,1316.0,1,64000.0,2,11,9,87,5,60079,1.0,1,0,0,30,3,17,85789.7012195122,609645.6,550500.0
54991108,4,1270.0,1,210000.0,2,8,-1,84,3,330012,1.0,0,0,0,0,5,6,85789.7012195122,22800.0,38500.0
58999712,4,1286.1657435613404,2,63000.0,2,8,5,111,5,60000,160.77002209999998,0,0,0,0,8,19,85789.7012195122,186064.8,184879.0
58995436,7,1256.0,3,96000.0,2,11,5,102,3,72000,200.0,0,0,0,0,6,10,55000.0,8785.2,49978.0
59004885,4,1272.0,1,141000.0,2,8,5,110,3,151300,1.0,0,0,0,0,2,6,85789.7012195122,18019.2,17662.0
58992044,7,1366.0,1,130000.0,2,11,-1,100,3,341439,173.20508080000002,0,0,0,0,11,10,85789.7012195122,0.0,35599.0
54991492,4,1256.0,1,120000.0,2,8,5,99,4,151000,173.20508080000002,0,0,0,0,1,0,85789.7012195122,28156.8,35700.0
58985805,5,1241.0,3,46000.0,2,15,5,80,5,350092,175.1570724,0,0,0,0,6,5,85789.7012195122,0.0,120500.0
58991594,7,1366.0,3,152000.0,1,11,5,84,5,60006,173.20508080000002,0,0,0,0,13,1,85789.7012195122,539806.8,528500.0
54986538,7,1223.0,3,55000.0,2,11,5,89,5,60069,1.0,0,0,0,0,4,10,16500.0,13154.4,15362.0
58989781,7,1241.0,1,70000.0,2,11,-1,106,4,450032,200.0,0,0,0,0,8,6,85789.7012195122,0.0,22500.0
58996558,7,1355.0,1,160000.0,2,11,5,84,3,151304,173.20508080000002,0,0,0,0,4,10,135300.0,65272.8,79071.0
54985832,7,1308.0,3,500000.0,2,11,9,85,5,60001,387.2983346,0,0,0,0,24,10,85789.7012195122,19142.4,186136.0
54982549,5,1326.0,3,30000.0,2,15,5,110,5,60005,1.0,0,0,0,0,27,17,85789.7012195122,0.0,600500.0
58990934,7,1262.0,3,151000.0,2,11,5,114,4,510102,251.968252,2,9,4,1095,7,5,85789.7012195122,0.0,40500.0
58987200,5,1286.1657435613404,2,126000.0,2,15,9,83,5,450058,176.0681686,0,0,0,0,10,10,199100.0,216960.0,226916.0
58983909,5,1262.0,3,130000.0,2,15,5,100,5,151304,189.7366596,0,0,0,0,27,10,85789.7012195122,1074.0,30522.0
58999186,4,1274.0,3,388000.0,2,8,9,111,5,72000,1.0,0,0,0,0,23,10,355300.0,4164.0,51730.0
54986948,7,1354.0,1,173000.0,2,11,5,65,5,350018,212.1320344,0,0,0,0,23,10,55000.0,119241.6,220084.0
58983297,5,1300.0,3,30000.0,2,15,5,95,5,71000,200.0,0,0,0,0,11,1,85789.7012195122,31800.0,250500.0
54984047,5,1274.0,3,76000.0,2,15,5,89,5,60000,173.4358671,0,0,0,0,1,10,27500.0,0.0,37319.0
54987857,7,1324.0,1,152000.0,2,11,5,98,5,151008,1.0,0,0,0,0,9,6,85789.7012195122,6240.0,26500.0
58984645,5,1244.0,3,30000.0,2,15,5,100,5,60014,223.6067977,1,0,0,7,24,5,85789.7012195122,0.0,95500.0
54988107,7,1361.0,3,274000.0,2,11,5,100,3,151300,314.9666649,0,0,0,0,36,1,85789.7012195122,0.0,277500.0
58985005,5,1316.0,3,48000.0,2,15,5,114,4,450033,297.5281499,0,0,0,0,4,5,85789.7012195122,0.0,100500.0
58989269,5,1391.0,3,112000.0,2,15,5,112,4,71002,192.608411,0,0,0,0,29,10,74800.0,18936.0,56938.0
58985795,5,1390.0,3,38000.0,2,15,5,109,5,450015,158.5370619,0,0,0,0,6,5,85789.7012195122,0.0,70500.0
58985589,5,1224.0,3,45000.0,2,15,5,81,5,450062,173.1588866,15,0,0,185,21,10,85789.7012195122,15087.6,49417.0
59002472,7,1246.0,3,65000.0,1,11,5,109,5,151300,173.20508080000002,0,0,0,0,35,10,85789.7012195122,243.6,23203.0
54988011,7,1241.0,3,75000.0,2,11,5,110,4,450059,194.9358869,0,0,0,0,4,1,85789.7012195122,414792.0,360500.0
58994016,7,1310.0,1,186000.0,2,11,-1,112,3,340019,223.6067977,3,0,0,45,33,10,62150.0,558.0,85123.0
54983561,5,1286.1657435613404,2,47000.0,2,15,5,112,4,510037,175.8266191,0,0,0,0,6,6,85789.7012195122,5520.0,12000.0
58983822,5,1308.0,3,30000.0,2,15,5,99,5,60062,1.0,0,0,0,0,36,1,85789.7012195122,0.0,278744.0
58998661,4,1211.0,3,71000.0,2,8,5,101,5,60073,264.5751311,0,0,0,0,24,10,60500.0,39154.8,33129.0
58997551,4,1306.0,3,130000.0,2,8,5,112,5,361047,1.0,0,0,0,0,1,2,85789.7012195122,0.0,1684894.0
58989333,7,1306.0,3,111000.0,2,11,9,113,4,72015,212.1320344,0,0,0,0,9,10,85789.7012195122,-5448.0,27355.0
58990136,7,1250.0,3,94000.0,2,11,5,113,4,71000,187.08286930000003,0,0,0,0,17,5,85789.7012195122,71878.8,100500.0
58993990,7,1264.0,3,53000.0,2,11,5,111,5,60095,1.0,0,0,0,0,11,10,42900.0,44264.4,39976.0
58986784,5,1242.0,3,75000.0,2,15,5,109,4,510020,173.20508080000002,1,0,0,19,35,10,85789.7012195122,37962.0,82548.0
58996172,7,1294.0,1,87000.0,2,11,5,113,3,450080,170.2468796,0,0,0,0,5,10,85789.7012195122,83014.8,73079.0
54986064,7,1282.0,1,173000.0,2,11,-1,106,5,72000,1.0,0,0,0,0,1,6,85789.7012195122,59904.0,62900.0
58989705,7,1312.0,3,105000.0,2,11,9,88,5,60043,187.08286930000003,0,0,0,0,9,10,68200.0,69543.6,65051.0
58992006,7,1272.0,3,50000.0,2,11,7,115,4,60007,1.0,0,0,0,0,3,6,85789.7012195122,31500.0,32000.0
54990604,4,1238.0,3,75000.0,2,8,5,104,4,72001,1.0,0,0,0,0,1,10,119900.0,4102.8,3918.0
58992285,7,1286.1657435613404,2,56000.0,2,11,-1,93,3,72001,212.1320344,0,0,0,0,1,10,74800.0,7870.8,7058.0
59005268,4,1286.1657435613404,2,67000.0,2,8,-1,100,5,60074,162.9232948,0,0,0,0,20,1,85789.7012195122,193086.0,248500.0
58994429,7,1295.0,3,73000.0,2,11,5,100,5,350076,223.6067977,0,0,0,0,1,13,85789.7012195122,102921.6,85500.0
58990469,7,1240.0,3,73000.0,2,11,5,87,3,60090,223.6067977,0,0,0,0,13,10,85789.7012195122,3487.2,5316.0
58989344,7,1265.0,3,70000.0,2,11,-1,81,5,350704,316.22776600000003,1,0,0,6,10,10,176000.0,-1.2,62937.0
58990737,7,1242.0,3,71000.0,1,11,5,108,5,60005,173.20508080000002,0,0,0,0,5,13,85789.7012195122,43165.2,42500.0
58985008,5,1259.0,3,121000.0,2,15,5,91,5,60064,1.0,0,0,0,0,10,6,85789.7012195122,0.0,38500.0
54987636,7,1214.0,3,59000.0,2,11,5,84,3,72001,223.6067977,0,0,0,0,13,10,85789.7012195122,11906.4,21933.0
58993373,7,1300.0,1,135000.0,2,11,5,87,3,350705,187.08286930000003,0,0,0,0,36,1,85789.7012195122,0.0,289500.0
58995703,7,1286.1657435613404,3,75000.0,2,11,9,100,5,450018,353.55339060000006,10,3,6,1490,17,1,85789.7012195122,0.0,552680.0
58995842,7,1302.0,1,92000.0,2,11,-1,105,4,60075,212.1320344,0,0,0,0,1,10,42900.0,682.8,1068.0
59000783,4,1306.0,3,59000.0,2,8,5,113,4,72004,1.0,0,0,0,0,9,10,29700.0,33400.8,29555.0
58989748,7,1200.0,3,110000.0,2,11,5,113,4,60034,249.69981980000003,1,0,0,1,9,10,110000.0,65830.8,78468.0
54985192,7,1230.0,3,72000.0,2,11,5,85,5,60069,1.0,0,0,0,0,21,10,85789.7012195122,26433.6,28526.0
58991614,7,1230.0,3,64000.0,2,11,3,82,5,60058,200.0,0,0,0,0,21,13,85789.7012195122,0.0,44500.0
59005543,4,1302.0,1,239000.0,1,8,5,100,3,60043,380.7886553,0,0,0,0,15,5,85789.7012195122,366463.2,390500.0
54985691,7,1241.0,3,71000.0,2,11,-1,80,5,450071,187.08286930000003,0,0,0,0,3,6,85789.7012195122,11640.0,19900.0
59003111,4,1223.0,3,73000.0,2,8,9,105,3,151300,1.0,0,0,0,0,9,6,85789.7012195122,53925.6,54000.0
54991896,4,1328.0,1,150000.0,2,8,5,107,3,332414,1.0,0,0,0,0,5,2,85789.7012195122,32493420.0,35661277.0
54990623,4,1286.1657435613404,2,44000.0,2,8,5,89,3,72000,171.01461930000002,0,0,0,0,7,10,37400.0,38227.2,34086.0
58986996,5,1250.0,3,50000.0,2,15,5,84,5,350702,200.0,0,0,0,0,10,6,85789.7012195122,0.0,12850.0
59001975,4,1180.0,3,49000.0,1,8,5,105,5,60032,173.20508080000002,0,0,0,0,11,6,85789.7012195122,0.0,51055.0
59001617,4,1304.0,3,35000.0,2,8,5,110,4,72000,200.0,0,0,0,0,8,10,85789.7012195122,8661.6,21219.0
54982665,5,1246.0,3,77000.0,2,15,5,109,5,151300,244.94897430000003,0,2,26,11906,6,10,85789.7012195122,0.0,46371.0
59001900,4,1256.0,3,180000.0,2,8,5,105,5,60018,1.0,1,0,0,1,35,10,88000.0,440.4,68062.0
54983144,5,1214.0,3,58000.0,2,15,5,112,4,72000,200.0,0,0,0,0,15,10,59400.0,56792.4,55283.0
58993173,7,1241.0,3,78000.0,1,11,5,105,5,60074,1.0,0,0,0,0,3,10,88000.0,64660.8,81133.0
54985924,7,1241.0,1,111000.0,2,11,5,90,5,350068,223.6067977,1,0,0,13,35,10,85789.7012195122,-81.6,17390.0
58991085,7,1286.1657435613404,2,93000.0,2,11,5,108,5,60000,189.2247341,0,0,0,0,14,5,85789.7012195122,93342.0,100500.0
58994301,7,1254.0,3,100000.0,2,11,5,84,5,151300,158.11388300000002,0,0,0,0,10,5,85789.7012195122,84766.8,88500.0
54988283,7,1286.1657435613404,2,70000.0,2,11,9,110,4,151304,187.08286930000003,3,2,13,3684,12,10,85789.7012195122,-60.0,43493.0
58989056,7,1290.0,3,113000.0,2,11,5,109,5,60091,204.9390153,0,0,0,0,10,5,85789.7012195122,147276.0,150500.0
59004235,4,1286.1657435613404,2,150000.0,2,8,5,100,3,60018,244.7549795,0,0,0,0,1,6,85789.7012195122,14400.0,18500.0
54986429,7,1326.0,3,208000.0,2,11,5,105,4,510070,279.6640842,0,0,0,0,36,10,45100.0,37776.0,40500.0
58995168,7,1336.0,1,151000.0,2,11,5,110,3,60084,1.0,0,0,0,0,34,1,85789.7012195122,0.0,160500.0
54989325,4,1286.1657435613404,2,49000.0,2,8,-1,113,4,72001,180.7235458,0,0,0,0,18,10,85789.7012195122,74910.0,62925.0
58999754,4,1310.0,3,88000.0,2,8,5,100,5,60005,1.0,0,0,0,0,11,6,85789.7012195122,0.0,16500.0
54986851,7,1286.1657435613404,2,89000.0,2,11,9,80,5,72001,243.1666095,0,0,0,0,1,1,85789.7012195122,600000.0,500500.0
54985076,7,1366.0,3,143000.0,2,11,5,83,3,60011,202.4845673,0,0,0,0,9,10,85789.7012195122,870.0,20153.0
58989082,7,1300.0,3,64000.0,2,11,5,110,4,510090,178.24140930000002,0,0,0,0,24,10,85789.7012195122,13142.4,33559.0
54984386,5,1246.0,3,81000.0,2,15,5,80,5,60004,1.0,0,0,0,0,19,5,85789.7012195122,0.0,33500.0
59000101,4,1223.0,3,50000.0,2,8,5,110,4,72000,173.20508080000002,0,0,0,0,13,13,85789.7012195122,5529.6,35500.0
54986544,7,1214.0,3,51000.0,2,11,9,111,5,72000,1.0,0,0,0,0,16,10,68200.0,17772.0,15661.0
54989207,4,1286.1657435613404,2,49000.0,1,8,2,114,4,71000,180.2803373,0,0,0,0,16,10,85789.7012195122,24958.8,27039.0
58982354,1,1343.0,1,550000.0,2,5,-1,77,5,350024,1.0,2,0,0,30,34,10,550000.0,143665.2,500500.0
58994493,7,1288.0,3,89000.0,2,11,5,105,5,71004,1.0,0,0,0,0,2,10,68200.0,55249.2,46540.0
54985084,7,1214.0,3,59000.0,2,11,9,86,5,60018,200.0,0,0,0,0,16,10,85789.7012195122,21715.2,45366.0
59002037,4,1292.0,1,115000.0,2,8,5,114,5,350060,192.3538406,0,0,0,0,5,7,85789.7012195122,0.0,301084.0
58994744,7,1332.0,1,141000.0,2,11,5,109,5,72412,1.0,0,0,0,0,36,10,48400.0,12694.8,19804.0
59003268,4,1282.0,3,95000.0,1,8,5,93,5,60047,173.20508080000002,0,0,0,0,3,10,64900.0,32218.8,59369.0
54984903,5,1372.0,3,83000.0,2,15,5,95,3,350704,165.6653253,0,0,0,0,2,10,85789.7012195122,0.0,30700.0
58987541,5,1268.0,3,91000.0,2,15,5,112,4,71008,1.0,0,0,0,0,5,10,46200.0,46047.6,42271.0
58984653,5,1286.1657435613404,2,44000.0,2,15,5,111,5,151300,169.6113204,0,0,0,0,16,2,85789.7012195122,1968345.6,1500500.0
54985234,7,1214.0,3,66000.0,2,11,5,82,3,60019,200.0,0,0,0,0,2,10,125400.0,135097.2,113080.0
54990680,4,1241.0,3,60000.0,2,8,5,115,5,60036,1.0,0,0,0,0,8,5,85789.7012195122,321375.6,300500.0
54987300,7,1126.0,3,79000.0,2,11,-1,107,5,450007,187.08286930000003,2,0,0,11,18,10,95700.0,38995.2,56131.0
59002628,4,1218.0,3,48000.0,2,8,5,90,5,72001,187.08286930000003,1,0,0,17,19,10,85789.7012195122,13969.2,30269.0
59003325,4,1325.0,1,126000.0,2,8,9,106,5,71003,1.0,0,0,0,0,1,10,64900.0,888.0,1240.0
58990902,7,1216.0,3,58000.0,2,11,5,96,5,60033,158.11388300000002,0,0,0,0,6,10,114400.0,60709.2,84500.0
54989095,4,1230.0,3,79000.0,2,8,5,112,4,72015,173.20508080000002,0,0,0,0,21,10,85789.7012195122,13653.6,11878.0
58998925,4,1312.0,3,150000.0,2,8,9,83,5,60052,1.0,0,0,0,0,36,12,85789.7012195122,24112.8,501.0
58991921,7,1301.0,1,75000.0,2,11,7,112,4,72000,1.0,1,0,0,1,35,22,275000.0,0.0,52286.0
54990270,4,1308.0,3,144000.0,2,8,5,107,5,60016,1.0,0,0,0,0,1,10,159500.0,759.6,1133.0
59002318,4,1224.0,3,59000.0,2,8,5,80,3,60044,200.0,0,0,0,0,4,10,85789.7012195122,24858.0,21215.0
59004100,4,1300.0,3,35000.0,2,8,5,111,3,60029,1.0,0,0,0,0,27,10,36300.0,14038.8,17265.0
58987961,5,1302.0,1,177000.0,2,15,9,80,3,371200,158.11388300000002,0,0,0,0,22,13,85789.7012195122,0.0,53000.0
59004226,4,1286.1657435613404,2,38000.0,2,8,9,109,4,60028,158.11388300000002,0,0,0,0,13,10,85789.7012195122,21616.8,18514.0
58990758,7,1284.0,3,106000.0,2,11,9,104,4,60036,1.0,0,0,0,0,28,10,85789.7012195122,7320.0,33063.0
59000320,4,1214.0,3,62000.0,2,8,9,114,4,151300,1.0,0,0,0,0,18,10,85789.7012195122,27626.4,33664.0
54986068,7,1220.0,3,263000.0,2,11,9,90,2,151300,1.0,0,0,0,0,33,10,321200.0,346260.0,289050.0
58995478,7,1301.0,1,77000.0,2,11,5,95,3,450000,173.20508080000002,0,0,0,0,31,19,85789.7012195122,75801.6,326500.0
59004000,4,1214.0,3,82000.0,1,8,5,100,5,60019,167.33200530000002,0,0,0,0,23,10,85789.7012195122,21595.2,25967.0
58993081,7,1216.0,3,35000.0,2,11,9,113,4,60038,1.0,2,0,0,27,34,10,85789.7012195122,86318.4,121165.0
58985870,5,1258.0,3,95000.0,2,15,5,93,5,60036,1.0,0,0,0,0,7,10,59400.0,15612.0,24869.0
58996064,7,1230.0,3,69000.0,1,11,9,72,5,151300,187.08286930000003,0,0,0,0,10,10,106700.0,113962.8,100642.0
58984182,5,1286.0,3,92000.0,1,15,5,81,3,60018,200.0,0,0,0,0,36,10,85789.7012195122,12919.2,21605.0
